archetype,vintage,city,eui
apartment_highrise,pre1990,busan,86.42
apartment_highrise,pre1990,busan,140.51
apartment_highrise,pre1990,busan,154.24
apartment_highrise,pre1990,busan,84.94
apartment_highrise,pre1990,busan,100.91
apartment_highrise,pre1990,busan,112.53
apartment_highrise,pre1990,busan,80.92
apartment_highrise,pre1990,busan,97.52
apartment_highrise,pre1990,busan,113.11
apartment_highrise,pre1990,busan,127.77
apartment_highrise,pre1990,busan,107.82
apartment_highrise,pre1990,busan,87.5
apartment_highrise,pre1990,busan,159.54
apartment_highrise,pre1990,busan,61.96
apartment_highrise,pre1990,busan,63.14
apartment_highrise,pre1990,busan,98.83
apartment_highrise,pre1990,busan,61.3
apartment_highrise,pre1990,busan,91.57
apartment_highrise,pre1990,busan,68.4
apartment_highrise,pre1990,busan,91.27
apartment_highrise,pre1990,busan,151.09
apartment_highrise,pre1990,busan,141.92
apartment_highrise,pre1990,busan,79.32
apartment_highrise,pre1990,busan,82.11
apartment_highrise,pre1990,busan,143.08
apartment_highrise,pre1990,busan,88.24
apartment_highrise,pre1990,busan,118.54
apartment_highrise,pre1990,busan,60.67
apartment_highrise,pre1990,busan,140.32
apartment_highrise,pre1990,busan,152.07
apartment_highrise,pre1990,daegu,84.02
apartment_highrise,pre1990,daegu,137.24
apartment_highrise,pre1990,daegu,150.79
apartment_highrise,pre1990,daegu,82.58
apartment_highrise,pre1990,daegu,98.16
apartment_highrise,pre1990,daegu,109.61
apartment_highrise,pre1990,daegu,79.28
apartment_highrise,pre1990,daegu,94.92
apartment_highrise,pre1990,daegu,110.13
apartment_highrise,pre1990,daegu,124.46
apartment_highrise,pre1990,daegu,104.93
apartment_highrise,pre1990,daegu,85.05
apartment_highrise,pre1990,daegu,156.09
apartment_highrise,pre1990,daegu,60.97
apartment_highrise,pre1990,daegu,61.85
apartment_highrise,pre1990,daegu,96.08
apartment_highrise,pre1990,daegu,60.3
apartment_highrise,pre1990,daegu,89.05
apartment_highrise,pre1990,daegu,67.05
apartment_highrise,pre1990,daegu,88.7
apartment_highrise,pre1990,daegu,147.67
apartment_highrise,pre1990,daegu,138.63
apartment_highrise,pre1990,daegu,77.24
apartment_highrise,pre1990,daegu,79.98
apartment_highrise,pre1990,daegu,139.71
apartment_highrise,pre1990,daegu,85.79
apartment_highrise,pre1990,daegu,115.46
apartment_highrise,pre1990,daegu,59.66
apartment_highrise,pre1990,daegu,136.93
